,fun,serious,source
0,partially faded hand stamp undermining everything prosecutor says,partially faded hand print undermining everything prosecutor claims,unfunme
1,partially faded hand stamp undermining everything prosecutor says,partially faded hand stamp undermines prosecutor,unfunme
2,synthesizer trumpet announces arrival of porn king,electronic music for porn soundtrack,unfunme
3,synthesizer trumpet announces arrival of porn king,synthesizer trumpet announces arrival of pop king,unfunme
4,depressed security guard turns big flashlight on self,selfie light shows deep depression,unfunme
5,depressed security guard turns big flashlight on self,depressed security guard turns gun on self,unfunme
6,depressed security guard turns big flashlight on self,security guard turns big flashlight on self,unfunme
7,fugitive doctor accuses devlin macgregor of fraud,fugitive doctor accuses patient of fraud,unfunme
8,fugitive doctor accuses devlin macgregor of fraud,us government accuses fugitive doctor of fraud,unfunme
9,fugitive doctor accuses devlin macgregor of fraud,fugitive doctor accuses devin macgregor of fraud,unfunme
10,aig nearly blows all the goodwill built up by wall street in recent years,aig nearly shuts all the goodwill built up by wall street in recent years,unfunme
11,overweight 6-year-old vows to change lifestyle after second heart attack,65-year-old vows to change lifestyle after second heart attack,unfunme
12,israel vows to use veto power if chuck hagel confirmed as u.s. secretary of defense,isreal quiet about appointment of hagel,unfunme
13,israel vows to use veto power if chuck hagel confirmed as u.s. secretary of defense,israel vows to use veto power if hilary clinton confirmed as u.s. secretary of defenst,unfunme
14,bill belichick builds new tight end from mutilated dog parts,bill belichick builds new tight end from draft picks,unfunme
15,seven lucky oprah guests find tour de france titles under their chairs,seven lucky oprah guests find tour de france tickets under their chairs,unfunme
16,obama begins inauguration festivities with ceremonial drone flyover,obama swers in among inauguration festivities,unfunme
17,obama begins inauguration festivities with ceremonial drone flyover,obama begins inauguration festivities,unfunme
18,obama begins inauguration festivities with ceremonial drone flyover,obama begins inauguration festivities with ceremonial flyover,unfunme
19,list of politically achievable reforms down to just three minor changes to traffic code,politically achievable reforms reduced to one minor change to jaywalking code,unfunme
20,falcons starting to see why no one believed in them,chicago cubs starting to see why no one believed in them,unfunme
21,falcons starting to see why no one believed in them,atlanta falcons starting to see why no one believed in them.,unfunme
22,falcons confirm matt ryan suffered grade 2 choke,matt ryan was choked confirmed the falcons,unfunme
23,"roommate food pyramid updated to include 4 servings of someone else's grains, cereals per day","food pyramid updated to include 4 servings of  grains, cereals per day",unfunme
24,"roommate food pyramid updated to include 4 servings of someone else's grains, cereals per day","food pyramid updated to include 4 servings of grains, cereals per day",unfunme
25,bo obama receives visiting dognitaries from furuguay,obama receives visiting dognitaries from uruguay,unfunme
26,ray lahood resigns following mysterious disappearance of country road,ray lahood resigns following mysterious disappearance of country.,unfunme
27,creepy one-word text message from mom could mean anything,creepy one-word text message from god could mean anything,unfunme
28,depressed groundhog sees shadow of rodent he once was,groundhog sees shadow,unfunme
29,depressed groundhog sees shadow of rodent he once was,depressed groundhog sees shadow of the rodent he once was,unfunme
30,department of interior bilked out of $18 million in funding by con gopher,department of interior bilked out of $18 million in funding by con,unfunme
31,doomed rabbit to teach 8-year-old about responsibility,doomed to teach 8-year-old about responsibility,unfunme
32,doomed rabbit to teach 8-year-old about responsibility,doomed rabbit to teach 10-year-old about responsibility,unfunme
33,horribly depressed zookeeper has always had special connection with animals,new zookeeper has always had special connection with animals,unfunme
34,horribly depressed zookeeper has always had special connection with animals,zookeeper has always had special connection with animals,unfunme
35,peta protests use of animatronic animals in commercials,news report: peta protests use of animatronic animals in commercials,unfunme
36,area woman wearing same boots as captain hook,woman wearing same area boots as captain hook,unfunme
37,area woman wearing same boots as captain hook,are woman wearing same boots as captain hook?,unfunme
38,completely self-absorbed obama gets up and just talks for an hour straight,completely healed mute gets up and just talks for an hour straight,unfunme
39,completely self-absorbed obama gets up and just talks for an hour straight,trump gets up and just talks for an hour straight,unfunme
